"T","Distance","Radius","FreeRadius","BRadius","X","Y","Z"
0.000,0.000,0.785,1.005,2.710,-6.189,6.976,6.269
0.006,0.047,0.823,1.025,2.748,-6.212,6.935,6.263
0.012,0.093,0.846,1.044,2.771,-6.232,6.894,6.256
0.018,0.137,0.872,1.061,2.797,-6.249,6.855,6.247
0.024,0.176,0.964,1.073,2.889,-6.260,6.819,6.235
0.030,0.212,1.074,1.080,3.000,-6.263,6.787,6.220
0.036,0.247,1.095,1.080,3.021,-6.256,6.759,6.200
0.042,0.285,1.067,1.070,2.993,-6.238,6.736,6.175
0.048,0.333,1.048,1.050,2.973,-6.207,6.720,6.143
0.054,0.393,1.022,1.021,2.948,-6.161,6.710,6.105
0.060,0.460,0.985,0.985,2.911,-6.108,6.703,6.065
0.065,0.523,0.949,0.949,2.873,-6.056,6.695,6.030
0.071,0.576,0.919,0.919,2.841,-6.011,6.682,6.004
0.077,0.614,0.897,0.898,2.819,-5.983,6.660,5.995
0.083,0.652,0.891,0.890,2.813,-5.979,6.624,6.007
0.089,0.724,0.905,0.904,2.827,-6.007,6.570,6.046
0.095,0.848,0.945,0.949,2.868,-6.075,6.495,6.118
0.101,1.034,1.032,1.031,2.954,-6.187,6.395,6.227
0.107,1.269,1.172,1.154,3.093,-6.335,6.277,6.366
0.113,1.538,1.293,1.321,3.213,-6.508,6.146,6.525
0.119,1.825,1.346,1.515,3.266,-6.694,6.009,6.696
0.125,2.115,1.354,1.684,3.274,-6.881,5.872,6.870
0.131,2.389,1.497,1.827,3.417,-7.057,5.744,7.037
0.137,2.634,1.940,1.971,3.860,-7.212,5.629,7.188
0.143,2.832,2.277,2.096,4.198,-7.333,5.536,7.314
0.149,2.973,2.242,2.183,4.162,-7.412,5.468,7.409
0.155,3.063,2.163,2.232,4.082,-7.453,5.422,7.474
0.161,3.113,2.177,2.251,4.094,-7.464,5.394,7.514
0.167,3.139,2.200,2.246,4.117,-7.454,5.379,7.533
0.173,3.166,2.221,2.222,4.138,-7.429,5.370,7.535
0.179,3.199,2.252,2.189,4.170,-7.397,5.365,7.525
0.185,3.236,2.285,2.153,4.203,-7.366,5.356,7.507
0.190,3.271,2.304,2.121,4.222,-7.344,5.341,7.485
0.196,3.307,2.292,2.100,4.209,-7.338,5.313,7.463
0.202,3.353,2.266,2.091,4.184,-7.346,5.273,7.441
0.208,3.413,2.255,2.092,4.173,-7.368,5.222,7.419
0.214,3.488,2.253,2.103,4.171,-7.402,5.159,7.396
0.220,3.578,2.256,2.124,4.174,-7.447,5.086,7.371
0.226,3.681,2.267,2.153,4.185,-7.502,5.002,7.344
0.232,3.798,2.283,2.190,4.201,-7.565,4.909,7.313
0.238,3.927,2.298,2.236,4.216,-7.635,4.806,7.280
0.244,4.066,2.307,2.288,4.225,-7.711,4.696,7.243
0.250,4.211,2.313,2.347,4.231,-7.789,4.579,7.204
0.256,4.358,2.325,2.411,4.243,-7.867,4.461,7.166
0.262,4.501,2.346,2.477,4.264,-7.943,4.345,7.130
0.268,4.637,2.371,2.542,4.287,-8.013,4.233,7.099
0.274,4.760,2.407,2.604,4.322,-8.075,4.130,7.074
0.280,4.866,2.450,2.660,4.365,-8.127,4.038,7.059
0.286,4.952,2.462,2.705,4.376,-8.166,3.962,7.055
0.292,5.015,2.437,2.737,4.348,-8.189,3.903,7.063
0.298,5.061,2.404,2.759,4.314,-8.202,3.861,7.078
0.304,5.093,2.379,2.774,4.290,-8.209,3.834,7.092
0.310,5.111,2.369,2.784,4.280,-8.215,3.820,7.100
0.315,5.123,2.367,2.792,4.278,-8.226,3.816,7.094
0.321,5.157,2.383,2.802,4.294,-8.245,3.820,7.067
0.327,5.221,2.444,2.819,4.355,-8.280,3.832,7.014
0.333,5.326,2.485,2.844,4.396,-8.333,3.848,6.926
0.339,5.474,2.424,2.880,4.336,-8.410,3.867,6.801
0.345,5.658,2.327,2.938,4.238,-8.510,3.886,6.646
0.351,5.868,2.257,3.002,4.168,-8.630,3.901,6.475
0.357,6.092,2.209,3.007,4.123,-8.768,3.910,6.299
0.363,6.320,2.192,2.950,4.110,-8.921,3.909,6.130
0.369,6.546,2.221,2.876,4.138,-9.089,3.896,5.979
0.375,6.763,2.286,2.828,4.200,-9.267,3.868,5.859
0.381,6.972,2.350,2.833,4.264,-9.455,3.821,5.782
0.387,7.180,2.342,2.893,4.257,-9.650,3.754,5.755
0.393,7.395,2.282,2.933,4.196,-9.849,3.672,5.772
0.399,7.620,2.268,2.841,4.181,-10.048,3.581,5.823
0.405,7.850,2.332,2.673,4.243,-10.244,3.488,5.897
0.411,8.077,2.432,2.525,4.344,-10.434,3.399,5.984
0.417,8.293,2.422,2.394,4.333,-10.615,3.320,6.073
0.423,8.489,2.287,2.277,4.198,-10.782,3.258,6.155
0.429,8.657,2.185,2.193,4.096,-10.933,3.219,6.217
0.435,8.794,2.147,2.147,4.058,-11.064,3.208,6.254
