"LayerId","Radius","FreeRadius","BRadius","LocalMinimum","StartDistance","EndDistance","Charge","Ionizable","Hydropathy","Hydrophobicity","Polarity","Mutability","LogP","LogD","LogS"
1,0.78,1.00,2.71,0,0.00,0.22,0,0,2.70,0.64,0.54,66,1.33,1.33,-0.35
2,1.05,1.05,2.97,0,0.22,0.50,0,0,1.73,0.12,1.17,77,0.77,0.77,-0.13
3,0.89,0.89,2.82,1,0.50,0.83,0,0,0.33,-0.53,2.25,100,-0.21,-0.21,0.74
4,0.95,0.95,2.87,0,0.83,2.19,0,0,0.33,-0.53,1.13,75,0.07,0.07,0.47
5,1.37,1.73,3.29,0,2.19,2.82,0,0,1.30,0.00,0.49,64,0.64,0.64,0.25
6,2.28,2.10,4.20,0,2.82,3.08,0,0,0.95,-0.06,0.93,67,0.68,0.68,-0.10
7,2.17,2.09,4.09,1,3.08,3.57,0,0,1.20,0.28,1.02,50,1.03,1.03,-0.70
8,2.26,2.13,4.18,0,3.57,4.64,0,0,1.75,0.48,0.18,63,1.52,1.52,-0.76
9,2.38,2.56,4.30,0,4.64,4.91,0,0,1.96,0.65,0.21,60,1.71,1.71,-0.97
10,2.37,2.70,4.28,0,4.91,5.74,0,0,2.55,1.02,0.26,63,2.14,2.14,-1.21
11,2.28,2.98,4.19,0,5.74,6.34,0,0,1.75,0.48,0.18,63,1.52,1.52,-0.76
12,2.20,2.93,4.11,1,6.34,6.91,0,0,3.08,1.00,0.19,70,1.99,1.99,-1.22
13,2.35,2.83,4.26,0,6.91,7.48,0,0,2.90,0.96,0.21,75,1.97,1.97,-1.08
14,2.26,2.89,4.18,1,7.48,8.09,0,0,3.27,1.28,0.28,66,2.26,2.26,-1.64
15,2.45,2.48,4.36,0,8.09,8.59,0,0,2.35,0.76,1.05,66,1.48,1.48,-1.03
16,2.18,2.19,4.10,0,8.59,8.90,0,0,2.44,0.88,0.91,62,1.68,1.68,-1.18
17,2.10,2.10,4.01,0,8.90,9.58,0,0,2.18,0.57,0.91,77,1.15,1.15,-0.46
18,2.03,2.03,3.94,1,9.58,9.91,0,0,1.60,0.58,0.79,73,1.49,1.49,-0.84
19,2.27,2.27,4.17,0,9.91,10.69,0,0,1.64,0.83,1.49,54,1.37,1.37,-0.92
20,2.24,2.34,4.15,0,10.69,11.74,0,0,1.35,0.70,1.77,55,1.09,1.09,-0.70
21,1.84,2.64,3.74,0,11.74,13.96,0,0,2.50,1.19,0.96,66,1.76,1.76,-1.23
22,1.83,3.09,3.74,0,13.96,14.55,0,0,2.58,1.36,0.96,67,1.87,1.87,-1.37
23,1.80,3.14,3.70,0,14.55,15.01,-1,1,0.65,0.79,13.40,62,1.54,0.89,-0.49
24,1.72,3.35,3.63,0,15.01,16.09,-1,1,0.03,0.79,17.38,68,1.77,0.90,-0.70
25,1.66,3.82,3.57,0,16.09,16.31,-1,1,0.73,0.93,13.12,64,1.95,1.30,-0.98
26,1.38,3.76,3.29,0,16.31,17.17,-1,1,-0.58,0.29,13.50,65,1.35,0.70,-0.32
27,1.06,3.12,2.98,0,17.17,19.49,-1,1,0.78,0.31,13.01,84,1.26,0.61,-0.17
28,0.21,2.12,2.14,0,19.49,20.61,0,0,2.20,0.80,0.71,87,1.52,1.52,-0.96
29,0.01,1.94,1.88,1,20.61,20.89,0,0,3.65,1.58,0.24,77,2.37,2.37,-1.83

