T,Distance,Radius,FreeRadius,BRadius,X,Y,Z,,,Weighted Radius,Weighted FreeRadius,Weighted Bradius
0,0,1.112,1.272,3.039,6.709,-9.589,-2.341,,,0.003336,0.003816,0.009117
0.004,0.003,1.115,1.27,3.042,6.708,-9.586,-2.343,,,0.003345,0.00381,0.009126
0.007,0.006,1.118,1.269,3.045,6.707,-9.584,-2.344,,,0.004472,0.005076,0.01218
0.011,0.01,1.121,1.269,3.048,6.706,-9.581,-2.345,,,0.003363,0.003807,0.009144
0.015,0.013,1.124,1.269,3.051,6.705,-9.577,-2.345,,,0.004496,0.005076,0.012204
0.018,0.017,1.127,1.271,3.055,6.704,-9.573,-2.343,,,0.006762,0.007626,0.01833
0.022,0.023,1.131,1.273,3.058,6.702,-9.569,-2.341,,,0.007917,0.008911,0.021406
0.026,0.03,1.134,1.276,3.062,6.701,-9.564,-2.336,,,0.010206,0.011484,0.027558
0.029,0.039,1.138,1.279,3.066,6.7,-9.557,-2.33,,,0.012518,0.014069,0.033726
0.033,0.05,1.142,1.282,3.07,6.699,-9.55,-2.322,,,0.014846,0.016666,0.03991
0.036,0.063,1.147,1.285,3.074,6.699,-9.541,-2.312,,,0.016058,0.01799,0.043036
0.04,0.077,1.154,1.29,3.081,6.7,-9.531,-2.302,,,0.018464,0.02064,0.049296
0.044,0.093,1.164,1.297,3.09,6.702,-9.519,-2.292,,,0.019788,0.022049,0.05253
0.047,0.11,1.174,1.306,3.101,6.706,-9.505,-2.282,,,0.02348,0.02612,0.06202
0.051,0.13,1.184,1.319,3.11,6.712,-9.49,-2.272,,,0.024864,0.027699,0.06531
0.055,0.151,1.192,1.334,3.118,6.72,-9.472,-2.264,,,0.026224,0.029348,0.068596
0.058,0.173,1.207,1.35,3.133,6.728,-9.454,-2.255,,,0.02414,0.027,0.06266
0.062,0.193,1.236,1.366,3.162,6.735,-9.436,-2.248,,,0.022248,0.024588,0.056916
0.066,0.211,1.277,1.379,3.204,6.74,-9.42,-2.242,,,0.019155,0.020685,0.04806
0.069,0.226,1.315,1.386,3.242,6.74,-9.406,-2.236,,,0.01578,0.016632,0.038904
0.073,0.238,1.335,1.382,3.262,6.734,-9.397,-2.231,,,0.01869,0.019348,0.045668
0.077,0.252,1.337,1.368,3.264,6.722,-9.392,-2.227,,,0.024066,0.024624,0.058752
0.08,0.27,1.336,1.351,3.262,6.704,-9.393,-2.222,,,0.021376,0.021616,0.052192
0.084,0.286,1.342,1.336,3.267,6.69,-9.397,-2.215,,,0.018788,0.018704,0.045738
0.088,0.3,1.345,1.327,3.27,6.687,-9.403,-2.203,,,0.033625,0.033175,0.08175
0.091,0.325,1.328,1.332,3.252,6.702,-9.409,-2.185,,,0.0664,0.0666,0.1626
0.095,0.375,1.283,1.355,3.207,6.743,-9.414,-2.157,,,0.109055,0.115175,0.272595
0.099,0.46,1.232,1.402,3.156,6.819,-9.417,-2.117,,,0.158928,0.180858,0.407124
0.102,0.589,1.199,1.475,3.123,6.936,-9.415,-2.064,,,0.20383,0.25075,0.53091
0.106,0.759,1.199,1.574,3.124,7.091,-9.409,-1.995,,,0.245795,0.32267,0.64042
0.109,0.964,1.226,1.69,3.152,7.276,-9.397,-1.907,,,0.284432,0.39208,0.731264
0.113,1.196,1.272,1.815,3.199,7.481,-9.38,-1.799,,,0.321816,0.459195,0.809347
0.117,1.449,1.336,1.95,3.263,7.696,-9.358,-1.668,,,0.356712,0.52065,0.871221
0.12,1.716,1.421,2.109,3.348,7.91,-9.329,-1.511,,,0.395038,0.586302,0.930744
0.124,1.994,1.528,2.3,3.456,8.115,-9.295,-1.327,,,0.43548,0.6555,0.98496
0.128,2.279,1.655,2.498,3.583,8.301,-9.254,-1.115,,,0.47995,0.72442,1.03907
0.131,2.569,1.797,2.66,3.724,8.466,-9.209,-0.881,,,0.510348,0.75544,1.057616
0.135,2.853,1.947,2.756,3.874,8.607,-9.163,-0.639,,,0.523743,0.741364,1.042106
0.139,3.122,2.097,2.805,4.023,8.726,-9.12,-0.401,,,0.509571,0.681615,0.977589
0.142,3.365,2.236,2.838,4.161,8.821,-9.083,-0.181,,,0.460616,0.584628,0.857166
0.146,3.571,2.355,2.871,4.279,8.893,-9.054,0.01,,,0.36738,0.447876,0.667524
0.15,3.727,2.445,2.899,4.368,8.941,-9.037,0.158,,,0.2445,0.2899,0.4368
0.153,3.827,2.499,2.915,4.42,8.965,-9.035,0.255,,,0.127449,0.148665,0.22542
0.157,3.878,2.517,2.916,4.437,8.97,-9.042,0.306,,,0.057891,0.067068,0.102051
0.161,3.901,2.51,2.909,4.429,8.962,-9.054,0.323,,,0.04267,0.049453,0.075293
0.164,3.918,2.488,2.897,4.407,8.947,-9.062,0.32,,,0.047272,0.055043,0.083733
0.168,3.937,2.471,2.884,4.39,8.933,-9.062,0.308,,,0.04942,0.05768,0.0878
0.172,3.957,2.484,2.872,4.403,8.924,-9.047,0.299,,,0.091908,0.106264,0.162911
0.175,3.994,2.542,2.864,4.461,8.927,-9.01,0.306,,,0.183024,0.206208,0.321192
0.179,4.066,2.618,2.871,4.537,8.947,-8.948,0.337,,,0.272272,0.298584,0.471848
0.182,4.17,2.675,2.905,4.594,8.982,-8.864,0.386,,,0.339725,0.368935,0.583438
0.186,4.297,2.692,2.965,4.61,9.032,-8.764,0.447,,,0.382264,0.42103,0.65462
0.19,4.439,2.691,3.016,4.609,9.095,-8.653,0.51,,,0.400959,0.449384,0.686741
0.193,4.588,2.7,3.021,4.616,9.168,-8.537,0.569,,,0.405,0.45315,0.6924
0.197,4.738,2.726,2.973,4.64,9.25,-8.421,0.614,,,0.389818,0.425139,0.66352
0.201,4.881,2.747,2.901,4.659,9.338,-8.31,0.639,,,0.376339,0.397437,0.638283
0.204,5.018,2.743,2.838,4.654,9.43,-8.21,0.639,,,0.348361,0.360426,0.591058
0.208,5.145,2.717,2.796,4.628,9.519,-8.121,0.62,,,0.304304,0.313152,0.518336
0.212,5.257,2.69,2.774,4.601,9.596,-8.046,0.588,,,0.25017,0.257982,0.427893
0.215,5.35,2.677,2.771,4.589,9.654,-7.986,0.549,,,0.176682,0.182886,0.302874
0.219,5.416,2.673,2.785,4.586,9.686,-7.943,0.509,,,0.112266,0.11697,0.192612
0.223,5.458,2.664,2.816,4.579,9.684,-7.918,0.476,,,0.130536,0.137984,0.224371
0.226,5.507,2.641,2.86,4.557,9.64,-7.913,0.455,,,0.216562,0.23452,0.373674
0.23,5.589,2.606,2.911,4.522,9.559,-7.924,0.449,,,0.24757,0.276545,0.42959
0.234,5.684,2.564,2.96,4.477,9.464,-7.933,0.459,,,0.225632,0.26048,0.393976
0.237,5.772,2.526,2.995,4.434,9.381,-7.926,0.483,,,0.184398,0.218635,0.323682
0.241,5.845,2.507,2.998,4.411,9.332,-7.885,0.521,,,0.263235,0.31479,0.463155
0.245,5.95,2.523,2.95,4.425,9.344,-7.794,0.572,,,0.489462,0.5723,0.85845
0.248,6.144,2.546,2.85,4.449,9.44,-7.637,0.635,,,0.819812,0.9177,1.432578
0.252,6.466,2.511,2.708,4.415,9.644,-7.399,0.709,,,1.119906,1.207768,1.96909
0.255,6.912,2.371,2.537,4.274,9.951,-7.086,0.792,,,1.254259,1.342073,2.260946
0.259,7.441,2.189,2.38,4.087,10.327,-6.725,0.879,,,1.241163,1.34946,2.317329
0.263,8.008,2.077,2.291,3.969,10.738,-6.345,0.967,,,1.165197,1.285251,2.226609
0.266,8.569,2.106,2.302,3.992,11.15,-5.974,1.052,,,1.071954,1.171718,2.031928
0.27,9.078,2.198,2.368,4.08,11.527,-5.64,1.129,,,0.907774,0.977984,1.68504
0.274,9.491,2.246,2.427,4.126,11.835,-5.373,1.195,,,0.622142,0.672279,1.142902
0.277,9.768,2.2,2.446,4.083,12.043,-5.197,1.245,,,0.3146,0.349778,0.583869
0.281,9.911,2.127,2.441,4.014,12.154,-5.113,1.278,,,0.099969,0.114727,0.188658
0.285,9.958,2.101,2.436,3.99,12.197,-5.1,1.291,,,0.079838,0.092568,0.15162
0.288,9.996,2.14,2.44,4.028,12.199,-5.137,1.285,,,0.15836,0.18056,0.298072
0.292,10.07,2.206,2.452,4.093,12.19,-5.205,1.256,,,0.207364,0.230488,0.384742
0.296,10.164,2.261,2.47,4.148,12.197,-5.283,1.205,,,0.257754,0.28158,0.472872
0.299,10.278,2.292,2.486,4.181,12.249,-5.351,1.129,,,0.371304,0.402732,0.677322
0.303,10.44,2.302,2.488,4.193,12.37,-5.39,1.028,,,0.508742,0.549848,0.926653
0.307,10.661,2.294,2.468,4.187,12.555,-5.399,0.907,,,0.612498,0.658956,1.117929
0.31,10.928,2.279,2.442,4.175,12.782,-5.383,0.769,,,0.665468,0.713064,1.2191
0.314,11.22,2.274,2.43,4.17,13.033,-5.348,0.623,,,0.679926,0.72657,1.24683
0.318,11.519,2.284,2.446,4.178,13.286,-5.299,0.472,,,0.65094,0.69711,1.19073
0.321,11.804,2.289,2.489,4.18,13.523,-5.242,0.323,,,0.576828,0.627228,1.05336
0.325,12.056,2.267,2.555,4.159,13.723,-5.182,0.182,,,0.460201,0.518665,0.844277
0.328,12.259,2.219,2.637,4.116,13.87,-5.124,0.054,,,0.352821,0.419283,0.654444
0.332,12.418,2.176,2.724,4.078,13.969,-5.07,-0.058,,,0.267648,0.335052,0.501594
0.336,12.541,2.166,2.802,4.071,14.03,-5.022,-0.153,,,0.201438,0.260586,0.378603
0.339,12.634,2.186,2.863,4.092,14.065,-4.98,-0.228,,,0.144276,0.188958,0.270072
0.343,12.7,2.214,2.9,4.118,14.083,-4.947,-0.282,,,0.08856,0.116,0.16472
0.347,12.74,2.231,2.906,4.131,14.095,-4.922,-0.312,,,0.049082,0.063932,0.090882
0.35,12.762,2.231,2.891,4.127,14.111,-4.909,-0.316,,,0.080316,0.104076,0.148572
0.354,12.798,2.214,2.867,4.109,14.14,-4.905,-0.296,,,0.12177,0.157685,0.225995
0.358,12.853,2.183,2.844,4.08,14.182,-4.902,-0.261,,,0.148444,0.193392,0.27744
0.361,12.921,2.151,2.824,4.053,14.237,-4.893,-0.221,,,0.169929,0.223096,0.320187
0.365,13,2.135,2.81,4.039,14.303,-4.867,-0.188,,,0.20069,0.26414,0.379666
0.369,13.094,2.14,2.797,4.045,14.381,-4.816,-0.172,,,0.26536,0.346828,0.50158
0.372,13.218,2.161,2.776,4.064,14.47,-4.73,-0.184,,,0.36737,0.47192,0.69088
0.376,13.388,2.189,2.739,4.09,14.568,-4.6,-0.235,,,0.496903,0.621753,0.92843
0.38,13.615,2.214,2.694,4.112,14.675,-4.424,-0.328,,,0.606636,0.738156,1.126688
0.383,13.889,2.221,2.66,4.119,14.788,-4.206,-0.451,,,0.686289,0.82194,1.272771
0.387,14.198,2.2,2.656,4.097,14.904,-3.956,-0.59,,,0.726,0.87648,1.35201
0.391,14.528,2.156,2.688,4.053,15.02,-3.681,-0.731,,,0.73304,0.91392,1.37802
0.394,14.868,2.099,2.757,3.996,15.134,-3.389,-0.861,,,0.707363,0.929109,1.346652
0.398,15.205,2.04,2.863,3.936,15.243,-3.087,-0.966,,,0.66504,0.933338,1.283136
0.401,15.531,1.982,2.998,3.877,15.344,-2.784,-1.031,,,0.616402,0.932378,1.205747
0.405,15.842,1.928,3.153,3.822,15.435,-2.488,-1.055,,,0.562976,0.920676,1.116024
0.409,16.134,1.884,3.315,3.779,15.513,-2.207,-1.045,,,0.504912,0.88842,1.012772
0.412,16.402,1.868,3.461,3.763,15.576,-1.948,-1.014,,,0.442716,0.820257,0.891831
0.416,16.639,1.895,3.565,3.789,15.622,-1.719,-0.972,,,0.37142,0.69874,0.742644
0.42,16.835,1.954,3.621,3.844,15.649,-1.53,-0.929,,,0.287238,0.532287,0.565068
0.423,16.982,2.004,3.64,3.89,15.654,-1.387,-0.896,,,0.182364,0.33124,0.35399
0.427,17.073,2.012,3.629,3.895,15.636,-1.298,-0.884,,,0.112672,0.203224,0.21812
0.431,17.129,1.985,3.598,3.866,15.599,-1.258,-0.893,,,0.105205,0.190694,0.204898
0.434,17.182,1.952,3.553,3.829,15.555,-1.247,-0.922,,,0.113216,0.206074,0.222082
0.438,17.24,1.939,3.502,3.809,15.515,-1.247,-0.963,,,0.110523,0.199614,0.217113
0.442,17.297,1.945,3.447,3.81,15.49,-1.241,-1.014,,,0.122535,0.217161,0.24003
0.445,17.36,1.966,3.389,3.831,15.491,-1.209,-1.069,,,0.198566,0.342289,0.386931
0.449,17.461,1.993,3.331,3.866,15.529,-1.133,-1.124,,,0.336817,0.562939,0.653354
0.453,17.63,2.014,3.283,3.897,15.614,-0.997,-1.173,,,0.471276,0.768222,0.911898
0.456,17.864,2.017,3.251,3.905,15.74,-0.804,-1.216,,,0.568794,0.916782,1.10121
0.46,18.146,2.011,3.244,3.899,15.893,-0.569,-1.248,,,0.62341,1.00564,1.20869
0.464,18.456,2.026,3.266,3.913,16.057,-0.307,-1.27,,,0.640216,1.032056,1.236508
0.467,18.772,2.092,3.319,3.979,16.217,-0.035,-1.279,,,0.633876,1.005657,1.205637
0.471,19.075,2.176,3.396,4.064,16.358,0.233,-1.273,,,0.589696,0.920316,1.101344
0.474,19.346,2.209,3.481,4.098,16.466,0.481,-1.25,,,0.503652,0.793668,0.934344
0.478,19.574,2.139,3.559,4.029,16.528,0.696,-1.21,,,0.404271,0.672651,0.761481
0.482,19.763,2.015,3.615,3.905,16.547,0.878,-1.159,,,0.32643,0.58563,0.63261
0.485,19.925,1.917,3.633,3.807,16.533,1.029,-1.103,,,0.26838,0.50862,0.53298
0.489,20.065,1.894,3.612,3.784,16.495,1.154,-1.051,,,0.231068,0.440664,0.461648
0.493,20.187,1.92,3.581,3.809,16.445,1.257,-1.011,,,0.19776,0.368843,0.392327
0.496,20.29,1.956,3.571,3.845,16.391,1.343,-0.99,,,0.168216,0.307106,0.33067
0.5,20.376,1.98,3.588,3.87,16.343,1.414,-0.996,,,0.16038,0.290628,0.31347
0.504,20.457,1.993,3.596,3.883,16.31,1.476,-1.035,,,0.173391,0.312852,0.337821
0.507,20.544,1.997,3.56,3.887,16.288,1.532,-1.098,,,0.191712,0.34176,0.373152
0.511,20.64,1.997,3.481,3.885,16.274,1.587,-1.176,,,0.1997,0.3481,0.3885
0.515,20.74,1.994,3.384,3.884,16.264,1.644,-1.256,,,0.195412,0.331632,0.380632
0.518,20.838,1.993,3.294,3.885,16.255,1.709,-1.33,,,0.189335,0.31293,0.369075
0.522,20.933,1.996,3.22,3.891,16.241,1.784,-1.386,,,0.195608,0.31556,0.381318
0.526,21.031,2.002,3.164,3.903,16.219,1.875,-1.414,,,0.224224,0.354368,0.437136
0.529,21.143,2.012,3.129,3.918,16.187,1.983,-1.408,,,0.259548,0.403641,0.505422
0.533,21.272,2.022,3.115,3.932,16.147,2.101,-1.374,,,0.28308,0.4361,0.55048
0.536,21.412,2.027,3.12,3.936,16.101,2.222,-1.32,,,0.285807,0.43992,0.554976
0.54,21.553,2.025,3.144,3.931,16.054,2.338,-1.256,,,0.269325,0.418152,0.522823
0.544,21.686,2.022,3.177,3.922,16.009,2.443,-1.189,,,0.230508,0.362178,0.447108
0.547,21.8,2.021,3.212,3.917,15.967,2.529,-1.127,,,0.169764,0.269808,0.329028
0.551,21.884,2.021,3.245,3.917,15.932,2.589,-1.079,,,0.10105,0.16225,0.19585
0.555,21.934,2.017,3.271,3.915,15.906,2.62,-1.049,,,0.052442,0.085046,0.10179
0.558,21.96,2.006,3.289,3.904,15.889,2.631,-1.033,,,0.022066,0.036179,0.042944
0.562,21.971,1.994,3.299,3.892,15.881,2.63,-1.027,,,0.00997,0.016495,0.01946
0.566,21.976,1.992,3.301,3.89,15.879,2.625,-1.026,,,0.011952,0.019806,0.02334
0.569,21.982,2.008,3.297,3.906,15.885,2.624,-1.026,,,0.036144,0.059346,0.070308
0.573,22,2.024,3.29,3.922,15.898,2.636,-1.024,,,0.08096,0.1316,0.15688
0.577,22.04,2.017,3.283,3.914,15.917,2.67,-1.014,,,0.133122,0.216678,0.258324
0.58,22.106,1.979,3.279,3.875,15.938,2.729,-0.994,,,0.182068,0.301668,0.3565
0.584,22.198,1.933,3.276,3.83,15.953,2.814,-0.961,,,0.230027,0.389844,0.45577
0.588,22.317,1.904,3.272,3.804,15.954,2.924,-0.915,,,0.283696,0.487528,0.566796
0.591,22.466,1.899,3.282,3.803,15.934,3.058,-0.852,,,0.349416,0.603888,0.699752
0.595,22.65,1.902,3.333,3.811,15.885,3.215,-0.772,,,0.426048,0.746592,0.853664
0.599,22.874,1.897,3.448,3.81,15.798,3.396,-0.672,,,0.514087,0.934408,1.03251
0.602,23.145,1.886,3.57,3.8,15.666,3.6,-0.551,,,0.590318,1.11741,1.1894
0.606,23.458,1.877,3.598,3.79,15.494,3.822,-0.414,,,0.632549,1.212526,1.27723
0.609,23.795,1.88,3.459,3.789,15.296,4.054,-0.27,,,0.65048,1.196814,1.310994
0.613,24.141,1.903,3.22,3.806,15.084,4.289,-0.13,,,0.643214,1.08836,1.286428
0.617,24.479,1.95,2.988,3.85,14.873,4.519,-0.001,,,0.6084,0.932256,1.2012
0.62,24.791,2.016,2.836,3.917,14.677,4.737,0.105,,,0.546336,0.768556,1.061507
0.624,25.062,2.067,2.76,3.972,14.508,4.935,0.179,,,0.448539,0.59892,0.861924
0.628,25.279,2.067,2.74,3.977,14.379,5.106,0.213,,,0.349323,0.46306,0.672113
0.631,25.448,2.016,2.758,3.93,14.289,5.25,0.211,,,0.27216,0.37233,0.53055
