"LayerId","Radius","FreeRadius","BRadius","LocalMinimum","StartDistance","EndDistance","Charge","Ionizable","Hydropathy","Hydrophobicity","Polarity","Mutability","LogP","LogD","LogS"
1,1.22,1.37,3.11,0,0.00,1.48,0,0,2.65,1.06,0.92,47,1.67,1.67,-0.83
2,1.63,1.78,3.53,0,1.48,3.38,0,0,1.63,0.44,1.74,47,0.82,0.82,-0.28
3,2.57,2.72,4.47,0,3.38,3.62,0,0,1.13,0.13,2.15,47,0.40,0.40,-0.01
4,2.59,2.84,4.50,0,3.62,3.79,0,0,1.90,0.54,1.11,61,1.21,1.21,-0.41
5,2.60,2.78,4.51,0,3.79,4.07,0,0,1.26,0.11,1.72,65,0.54,0.54,0.11
6,2.71,2.71,4.62,0,4.07,4.44,0,0,1.32,0.22,1.49,67,0.87,0.87,-0.28
7,2.51,2.51,4.41,0,4.44,6.00,0,0,1.60,0.18,1.45,83,0.73,0.73,-0.18
8,2.31,2.48,4.22,0,6.00,7.21,0,0,2.10,0.43,0.97,83,1.13,1.13,-0.43
9,2.02,2.18,3.91,1,7.21,8.31,0,0,1.55,0.22,1.81,74,0.64,0.64,-0.37
10,2.10,2.19,3.99,0,8.31,8.90,0,0,2.20,0.56,1.29,74,1.14,1.14,-0.77
11,2.04,2.12,3.93,1,8.90,9.16,0,0,0.63,0.31,2.25,61,0.67,0.67,-0.54
12,2.15,2.23,4.03,0,9.16,9.35,0,0,1.43,0.85,1.49,58,1.51,1.51,-1.20
13,2.21,2.24,4.10,0,9.35,10.32,0,0,0.42,0.09,2.47,61,0.36,0.36,-0.27
14,2.11,2.24,4.01,1,10.32,11.23,0,0,0.63,0.31,2.25,61,0.67,0.67,-0.54
15,2.13,2.24,4.03,0,11.23,12.09,0,0,1.35,0.70,1.77,55,1.09,1.09,-0.70
16,2.31,2.48,4.22,0,12.09,12.60,-1,1,0.58,0.62,13.40,61,1.43,0.78,-0.35
17,2.21,2.75,4.12,1,12.60,13.29,0,0,0.94,0.41,1.75,68,0.84,0.84,-0.41
18,2.30,2.81,4.21,0,13.29,13.87,-1,1,-0.65,0.14,13.79,63,0.94,0.29,0.17
19,2.46,2.78,4.37,0,13.87,14.28,-1,1,0.38,0.48,11.05,71,1.20,0.68,-0.23
20,2.20,2.86,4.12,0,14.28,15.40,-1,1,-0.26,0.17,11.09,83,1.00,0.48,-0.11
21,2.03,3.38,3.93,0,15.40,16.71,-1,1,-0.15,0.40,13.45,78,1.29,0.64,-0.33
22,2.02,3.26,3.91,1,16.71,17.10,0,0,0.97,0.92,1.30,78,1.56,1.56,-1.19
23,2.02,3.04,3.93,1,17.10,17.62,0,0,1.43,1.03,1.06,71,1.79,1.79,-1.34
24,1.83,1.96,3.74,0,17.62,19.21,0,0,0.40,0.76,1.37,61,1.64,1.64,-1.17
25,1.83,1.83,3.74,0,19.21,19.34,0,0,1.25,0.86,1.06,59,1.75,1.75,-1.33
26,1.75,1.78,3.66,0,19.34,20.29,0,0,1.33,0.85,1.49,43,1.58,1.58,-1.32
27,1.55,2.50,3.46,1,20.29,21.21,0,0,1.90,1.40,0.86,43,2.39,2.39,-2.03
28,1.57,3.25,3.46,0,21.21,21.50,0,0,0.95,1.53,1.23,38,2.54,2.54,-2.15
29,1.39,3.13,3.29,1,21.50,22.94,0,0,1.90,1.40,0.86,43,2.39,2.39,-2.03
30,1.43,3.20,3.35,0,22.94,23.58,0,0,1.25,0.86,1.06,59,1.75,1.75,-1.33
31,1.63,3.43,3.54,0,23.58,23.90,0,0,1.52,1.45,1.01,41,2.45,2.45,-2.07
32,1.51,3.53,3.42,0,23.90,24.14,0,0,0.95,1.53,1.23,38,2.54,2.54,-2.15
33,1.50,2.86,3.41,1,24.14,24.89,0,0,0.62,1.07,1.31,51,2.00,2.00,-1.56
34,1.54,2.32,3.45,0,24.89,25.28,0,0,0.07,1.00,1.55,52,1.88,1.88,-1.50

