T,Distance,Radius,FreeRadius,BRadius,X,Y,Z,,,Weighted Radius,Weighted FreeRadius,Weighted Bradius
0,0,1.143,1.303,3.07,7.067,-8.818,-3.844,,,0.010287,0.011727,0.02763
0.004,0.009,1.141,1.303,3.069,7.076,-8.819,-3.847,,,0.010269,0.011727,0.027621
0.009,0.018,1.14,1.304,3.069,7.084,-8.819,-3.85,,,0.00798,0.009128,0.021483
0.013,0.025,1.14,1.305,3.068,7.091,-8.819,-3.852,,,0.0057,0.006525,0.01534
0.018,0.03,1.14,1.306,3.069,7.096,-8.818,-3.852,,,0.00456,0.005224,0.012276
0.022,0.034,1.142,1.308,3.071,7.098,-8.815,-3.852,,,0.00571,0.00654,0.015355
0.026,0.039,1.146,1.31,3.074,7.097,-8.811,-3.849,,,0.010314,0.01179,0.027666
0.031,0.048,1.151,1.314,3.08,7.092,-8.805,-3.844,,,0.017265,0.01971,0.0462
0.035,0.063,1.159,1.317,3.087,7.083,-8.796,-3.837,,,0.02318,0.02634,0.06174
0.04,0.083,1.169,1.319,3.096,7.07,-8.786,-3.827,,,0.025718,0.029018,0.068112
0.044,0.105,1.18,1.319,3.106,7.058,-8.772,-3.813,,,0.02832,0.031656,0.074544
0.048,0.129,1.192,1.32,3.116,7.054,-8.756,-3.796,,,0.033376,0.03696,0.087248
0.053,0.157,1.202,1.327,3.126,7.061,-8.739,-3.775,,,0.04808,0.05308,0.12504
0.057,0.197,1.211,1.344,3.135,7.087,-8.719,-3.751,,,0.073871,0.081984,0.191235
0.062,0.258,1.218,1.369,3.141,7.136,-8.697,-3.723,,,0.107184,0.120472,0.276408
0.066,0.346,1.222,1.406,3.146,7.214,-8.674,-3.69,,,0.147862,0.170126,0.380666
0.07,0.467,1.227,1.467,3.151,7.327,-8.649,-3.653,,,0.191412,0.228852,0.491556
0.075,0.623,1.235,1.557,3.16,7.474,-8.623,-3.612,,,0.22724,0.286488,0.58144
0.079,0.807,1.253,1.669,3.177,7.65,-8.595,-3.564,,,0.258118,0.343814,0.654462
0.084,1.013,1.283,1.787,3.208,7.847,-8.565,-3.508,,,0.284826,0.396714,0.712176
0.088,1.235,1.33,1.912,3.257,8.056,-8.533,-3.443,,,0.30723,0.441672,0.752367
0.093,1.466,1.394,2.047,3.322,8.272,-8.499,-3.367,,,0.326196,0.478998,0.777348
0.097,1.7,1.474,2.197,3.402,8.486,-8.464,-3.279,,,0.341968,0.509704,0.789264
0.101,1.932,1.566,2.357,3.495,8.691,-8.426,-3.177,,,0.35235,0.530325,0.786375
0.106,2.157,1.668,2.519,3.597,8.88,-8.385,-3.061,,,0.361956,0.546623,0.780549
0.11,2.374,1.776,2.664,3.705,9.048,-8.344,-2.932,,,0.369408,0.554112,0.77064
0.115,2.582,1.885,2.769,3.814,9.197,-8.302,-2.793,,,0.36946,0.542724,0.747544
0.119,2.778,1.991,2.836,3.92,9.326,-8.262,-2.651,,,0.362362,0.516152,0.71344
0.123,2.96,2.092,2.874,4.021,9.435,-8.226,-2.509,,,0.347272,0.477084,0.667486
0.128,3.126,2.184,2.891,4.112,9.524,-8.195,-2.372,,,0.321048,0.424977,0.604464
0.132,3.273,2.263,2.898,4.19,9.593,-8.171,-2.245,,,0.280612,0.359352,0.51956
0.137,3.397,2.325,2.9,4.251,9.642,-8.155,-2.132,,,0.2325,0.29,0.4251
0.141,3.497,2.368,2.895,4.295,9.672,-8.149,-2.038,,,0.182336,0.222915,0.330715
0.145,3.574,2.393,2.882,4.319,9.685,-8.151,-1.961,,,0.145973,0.175802,0.263459
0.15,3.635,2.406,2.864,4.33,9.687,-8.156,-1.9,,,0.1203,0.1432,0.2165
0.154,3.685,2.413,2.843,4.335,9.681,-8.161,-1.851,,,0.09652,0.11372,0.1734
0.159,3.725,2.421,2.823,4.341,9.672,-8.162,-1.812,,,0.084735,0.098805,0.151935
0.163,3.76,2.432,2.806,4.351,9.665,-8.154,-1.779,,,0.089984,0.103822,0.160987
0.167,3.797,2.455,2.796,4.374,9.665,-8.133,-1.749,,,0.120295,0.137004,0.214326
0.172,3.846,2.504,2.796,4.424,9.676,-8.096,-1.719,,,0.17528,0.19572,0.30968
0.176,3.916,2.586,2.81,4.504,9.701,-8.039,-1.686,,,0.23274,0.2529,0.40536
0.181,4.006,2.664,2.836,4.582,9.739,-7.965,-1.652,,,0.274392,0.292108,0.471946
0.185,4.109,2.7,2.87,4.618,9.786,-7.881,-1.615,,,0.2943,0.31283,0.503362
0.189,4.218,2.703,2.911,4.621,9.837,-7.792,-1.578,,,0.294627,0.317299,0.503689
0.194,4.327,2.706,2.961,4.623,9.889,-7.704,-1.541,,,0.276012,0.302022,0.471546
0.198,4.429,2.724,3.009,4.638,9.938,-7.622,-1.505,,,0.236988,0.261783,0.403506
0.203,4.516,2.744,3.035,4.655,9.979,-7.554,-1.471,,,0.181104,0.20031,0.30723
0.207,4.582,2.755,3.027,4.666,10.008,-7.503,-1.438,,,0.118465,0.130161,0.200638
0.211,4.625,2.756,3.004,4.667,10.023,-7.475,-1.41,,,0.071656,0.078104,0.121342
0.216,4.651,2.747,2.986,4.658,10.027,-7.464,-1.386,,,0.052193,0.056734,0.088502
0.22,4.67,2.732,2.977,4.643,10.024,-7.463,-1.368,,,0.032784,0.035724,0.055716
0.225,4.682,2.72,2.974,4.63,10.021,-7.465,-1.356,,,0.00816,0.008922,0.01389
0.229,4.685,2.717,2.972,4.628,10.02,-7.464,-1.353,,,0.040755,0.04458,0.06942
0.233,4.7,2.733,2.969,4.644,10.027,-7.453,-1.36,,,0.106587,0.115791,0.181116
0.238,4.739,2.763,2.959,4.673,10.047,-7.424,-1.377,,,0.19341,0.20713,0.32711
0.242,4.809,2.78,2.941,4.691,10.084,-7.372,-1.406,,,0.28912,0.305864,0.487864
0.247,4.913,2.765,2.914,4.676,10.139,-7.294,-1.446,,,0.35392,0.372992,0.598528
0.251,5.041,2.731,2.883,4.642,10.206,-7.196,-1.495,,,0.385071,0.406503,0.654522
0.256,5.182,2.701,2.855,4.611,10.279,-7.088,-1.549,,,0.380841,0.402555,0.650151
0.26,5.323,2.683,2.834,4.592,10.349,-6.979,-1.604,,,0.34879,0.36842,0.59696
0.264,5.453,2.678,2.821,4.585,10.411,-6.877,-1.656,,,0.289224,0.304668,0.49518
0.269,5.561,2.679,2.82,4.587,10.456,-6.791,-1.703,,,0.200925,0.2115,0.344025
0.273,5.636,2.677,2.832,4.585,10.477,-6.729,-1.739,,,0.101726,0.107616,0.17423
0.278,5.674,2.663,2.856,4.571,10.468,-6.699,-1.762,,,0.103857,0.111384,0.178269
0.282,5.713,2.638,2.889,4.546,10.431,-6.702,-1.771,,,0.150366,0.164673,0.259122
0.286,5.77,2.605,2.924,4.513,10.377,-6.723,-1.767,,,0.16151,0.181288,0.279806
0.291,5.832,2.572,2.955,4.48,10.321,-6.746,-1.752,,,0.131172,0.150705,0.22848
0.295,5.883,2.55,2.973,4.458,10.278,-6.757,-1.73,,,0.09435,0.110001,0.164946
0.3,5.92,2.547,2.969,4.454,10.259,-6.741,-1.701,,,0.175743,0.204861,0.307326
0.304,5.989,2.568,2.933,4.476,10.281,-6.684,-1.67,,,0.362088,0.413553,0.631116
0.308,6.13,2.597,2.86,4.507,10.356,-6.569,-1.636,,,0.610295,0.6721,1.059145
0.313,6.365,2.576,2.755,4.486,10.497,-6.384,-1.604,,,0.842352,0.900885,1.466922
0.317,6.692,2.459,2.629,4.365,10.702,-6.132,-1.575,,,0.963928,1.030568,1.71108
0.322,7.084,2.297,2.505,4.199,10.955,-5.833,-1.549,,,0.994601,1.084665,1.818167
0.326,7.517,2.169,2.413,4.07,11.239,-5.507,-1.528,,,0.967374,1.076198,1.81522
0.33,7.963,2.116,2.366,4.018,11.538,-5.175,-1.512,,,0.92046,1.02921,1.74783
0.335,8.398,2.152,2.368,4.052,11.834,-4.858,-1.504,,,0.852192,0.937728,1.604592
0.339,8.794,2.246,2.411,4.142,12.112,-4.575,-1.503,,,0.750164,0.805274,1.383428
0.344,9.128,2.299,2.476,4.191,12.355,-4.347,-1.511,,,0.567853,0.611572,1.035177
0.348,9.375,2.244,2.54,4.136,12.547,-4.192,-1.528,,,0.376992,0.42672,0.694848
0.352,9.543,2.15,2.58,4.044,12.69,-4.108,-1.555,,,0.2408,0.28896,0.452928
0.357,9.655,2.109,2.578,4.005,12.794,-4.082,-1.59,,,0.181374,0.221708,0.34443
0.361,9.741,2.134,2.55,4.029,12.866,-4.1,-1.632,,,0.18139,0.21675,0.342465
0.366,9.826,2.193,2.533,4.088,12.918,-4.149,-1.679,,,0.203949,0.235569,0.380184
0.37,9.919,2.262,2.538,4.157,12.958,-4.216,-1.73,,,0.219414,0.246186,0.403229
0.374,10.016,2.325,2.55,4.219,12.996,-4.286,-1.784,,,0.21855,0.2397,0.396586
0.379,10.11,2.368,2.556,4.262,13.042,-4.347,-1.84,,,0.220224,0.237708,0.396366
0.383,10.203,2.394,2.553,4.288,13.104,-4.387,-1.896,,,0.234612,0.250194,0.420224
0.388,10.301,2.405,2.539,4.301,13.18,-4.405,-1.955,,,0.25974,0.274212,0.464508
0.392,10.409,2.409,2.52,4.308,13.267,-4.402,-2.019,,,0.28908,0.3024,0.51696
0.396,10.529,2.415,2.502,4.315,13.361,-4.382,-2.09,,,0.321195,0.332766,0.573895
0.401,10.662,2.412,2.491,4.312,13.459,-4.345,-2.172,,,0.34974,0.361195,0.62524
0.405,10.807,2.377,2.494,4.277,13.557,-4.293,-2.266,,,0.373189,0.391558,0.671489
0.41,10.964,2.306,2.516,4.205,13.651,-4.23,-2.375,,,0.39202,0.42772,0.71485
0.414,11.134,2.23,2.558,4.129,13.738,-4.157,-2.501,,,0.40586,0.465556,0.751478
0.419,11.316,2.177,2.62,4.077,13.814,-4.076,-2.645,,,0.415807,0.50042,0.778707
0.423,11.507,2.147,2.714,4.047,13.882,-3.99,-2.801,,,0.414371,0.523802,0.781071
0.427,11.7,2.131,2.849,4.032,13.944,-3.901,-2.961,,,0.40489,0.54131,0.76608
0.432,11.89,2.125,2.971,4.028,14.003,-3.811,-3.118,,,0.380375,0.531809,0.721012
0.436,12.069,2.128,2.989,4.032,14.061,-3.725,-3.264,,,0.344736,0.484218,0.653184
0.441,12.231,2.135,2.893,4.04,14.12,-3.643,-3.391,,,0.301035,0.407913,0.56964
0.445,12.372,2.14,2.77,4.044,14.183,-3.569,-3.492,,,0.24824,0.32132,0.469104
0.449,12.488,2.137,2.689,4.04,14.253,-3.505,-3.56,,,0.211563,0.266211,0.39996
0.454,12.587,2.125,2.643,4.029,14.33,-3.452,-3.591,,,0.201875,0.251085,0.382755
0.458,12.682,2.106,2.611,4.014,14.412,-3.405,-3.595,,,0.204282,0.253267,0.389358
0.463,12.779,2.084,2.587,3.997,14.498,-3.361,-3.58,,,0.2084,0.2587,0.3997
0.467,12.879,2.065,2.573,3.978,14.583,-3.314,-3.557,,,0.21063,0.262446,0.405756
0.471,12.981,2.054,2.566,3.966,14.667,-3.261,-3.534,,,0.211562,0.264298,0.408498
0.476,13.084,2.064,2.56,3.974,14.746,-3.196,-3.52,,,0.222912,0.27648,0.429192
