"T","Distance","Radius","FreeRadius","BRadius","X","Y","Z"
0.000,0.000,1.115,1.316,3.044,-5.924,7.699,5.644
0.004,0.022,1.125,1.313,3.054,-5.912,7.682,5.638
0.008,0.043,1.136,1.309,3.063,-5.902,7.664,5.634
0.013,0.063,1.145,1.304,3.073,-5.896,7.644,5.630
0.017,0.084,1.154,1.299,3.082,-5.897,7.624,5.629
0.021,0.108,1.162,1.297,3.089,-5.905,7.601,5.631
0.025,0.140,1.168,1.304,3.094,-5.924,7.577,5.637
0.029,0.182,1.173,1.318,3.098,-5.955,7.549,5.647
0.034,0.239,1.176,1.343,3.101,-6.000,7.518,5.662
0.038,0.313,1.180,1.378,3.104,-6.061,7.483,5.683
0.042,0.406,1.184,1.427,3.109,-6.141,7.444,5.710
0.046,0.518,1.190,1.490,3.115,-6.238,7.400,5.745
0.050,0.646,1.201,1.566,3.126,-6.350,7.352,5.785
0.055,0.788,1.219,1.654,3.145,-6.473,7.298,5.830
0.059,0.940,1.244,1.750,3.172,-6.604,7.240,5.881
0.063,1.099,1.278,1.849,3.206,-6.739,7.176,5.935
0.067,1.263,1.320,1.951,3.249,-6.876,7.107,5.993
0.071,1.428,1.371,2.057,3.300,-7.011,7.032,6.053
0.076,1.593,1.428,2.167,3.357,-7.140,6.951,6.116
0.080,1.754,1.491,2.273,3.420,-7.260,6.865,6.180
0.084,1.911,1.558,2.368,3.487,-7.369,6.772,6.244
0.088,2.063,1.627,2.453,3.556,-7.466,6.676,6.310
0.092,2.209,1.696,2.534,3.625,-7.551,6.576,6.375
0.097,2.349,1.764,2.608,3.693,-7.623,6.475,6.439
0.101,2.482,1.830,2.665,3.759,-7.684,6.375,6.503
0.105,2.608,1.891,2.694,3.820,-7.733,6.277,6.565
0.109,2.726,1.947,2.703,3.876,-7.769,6.183,6.626
0.113,2.835,1.997,2.701,3.925,-7.794,6.094,6.684
0.118,2.934,2.037,2.693,3.966,-7.807,6.013,6.740
0.122,3.024,2.069,2.679,3.997,-7.807,5.940,6.793
0.126,3.105,2.091,2.658,4.018,-7.798,5.877,6.843
0.130,3.181,2.106,2.633,4.032,-7.780,5.820,6.889
0.134,3.252,2.118,2.604,4.043,-7.757,5.767,6.931
0.139,3.320,2.130,2.573,4.055,-7.731,5.717,6.969
0.143,3.386,2.144,2.543,4.069,-7.705,5.666,7.003
0.147,3.451,2.164,2.514,4.090,-7.682,5.613,7.031
0.151,3.515,2.194,2.489,4.120,-7.665,5.555,7.055
0.155,3.583,2.238,2.470,4.163,-7.656,5.490,7.073
0.160,3.659,2.295,2.459,4.219,-7.658,5.416,7.086
0.164,3.745,2.364,2.459,4.288,-7.672,5.331,7.092
0.168,3.844,2.434,2.469,4.359,-7.698,5.236,7.094
0.172,3.953,2.490,2.487,4.414,-7.733,5.133,7.090
0.176,4.070,2.523,2.513,4.444,-7.775,5.024,7.081
0.181,4.193,2.543,2.545,4.461,-7.820,4.910,7.069
0.185,4.320,2.564,2.580,4.482,-7.866,4.793,7.053
0.189,4.447,2.594,2.617,4.511,-7.911,4.676,7.034
0.193,4.572,2.632,2.653,4.549,-7.952,4.560,7.013
0.197,4.692,2.674,2.685,4.592,-7.987,4.447,6.990
0.202,4.806,2.711,2.712,4.629,-8.013,4.338,6.965
0.206,4.913,2.734,2.732,4.652,-8.029,4.236,6.940
0.210,5.011,2.744,2.744,4.663,-8.037,4.142,6.913
0.214,5.100,2.748,2.748,4.664,-8.037,4.057,6.885
0.218,5.181,2.746,2.745,4.659,-8.030,3.982,6.857
0.223,5.251,2.737,2.738,4.648,-8.019,3.919,6.827
0.227,5.311,2.723,2.728,4.633,-8.003,3.870,6.797
0.231,5.362,2.706,2.715,4.616,-7.985,3.834,6.766
0.235,5.404,2.688,2.695,4.599,-7.966,3.814,6.735
0.239,5.441,2.668,2.672,4.579,-7.946,3.811,6.703
0.244,5.481,2.637,2.650,4.547,-7.928,3.825,6.671
0.248,5.526,2.593,2.631,4.503,-7.916,3.852,6.636
0.252,5.576,2.546,2.617,4.456,-7.915,3.886,6.599
0.256,5.631,2.503,2.612,4.416,-7.930,3.919,6.558
0.261,5.696,2.470,2.638,4.385,-7.966,3.945,6.512
0.265,5.779,2.451,2.724,4.367,-8.029,3.959,6.458
0.269,5.893,2.451,2.840,4.367,-8.124,3.952,6.397
0.273,6.046,2.473,2.899,4.389,-8.256,3.920,6.326
0.277,6.249,2.510,2.845,4.425,-8.430,3.855,6.244
0.282,6.511,2.510,2.724,4.425,-8.652,3.751,6.151
0.286,6.831,2.421,2.598,4.338,-8.918,3.608,6.046
0.290,7.197,2.275,2.493,4.191,-9.219,3.433,5.934
0.294,7.591,2.148,2.411,4.063,-9.540,3.235,5.818
0.298,8.000,2.090,2.359,4.000,-9.869,3.021,5.701
0.303,8.407,2.091,2.347,3.998,-10.192,2.802,5.588
0.307,8.797,2.136,2.381,4.044,-10.498,2.585,5.482
0.311,9.155,2.215,2.441,4.124,-10.774,2.378,5.386
0.315,9.464,2.315,2.494,4.225,-11.006,2.190,5.306
0.319,9.710,2.408,2.522,4.317,-11.181,2.030,5.243
0.324,9.881,2.449,2.519,4.358,-11.291,1.904,5.202
0.328,9.988,2.416,2.486,4.323,-11.341,1.813,5.179
0.332,10.048,2.353,2.440,4.259,-11.345,1.754,5.171
0.336,10.089,2.316,2.401,4.221,-11.319,1.723,5.173
0.340,10.134,2.312,2.378,4.216,-11.274,1.718,5.179
0.345,10.186,2.312,2.375,4.216,-11.226,1.734,5.187
0.349,10.238,2.305,2.393,4.210,-11.188,1.770,5.190
0.353,10.292,2.311,2.436,4.217,-11.174,1.822,5.185
0.357,10.363,2.344,2.502,4.251,-11.199,1.887,5.167
0.361,10.476,2.377,2.560,4.286,-11.275,1.961,5.132
0.366,10.641,2.369,2.570,4.278,-11.408,2.043,5.078
0.370,10.852,2.317,2.529,4.224,-11.587,2.130,5.008
0.374,11.099,2.258,2.475,4.165,-11.801,2.220,4.925
0.378,11.370,2.228,2.440,4.136,-12.039,2.311,4.833
0.382,11.653,2.234,2.427,4.143,-12.289,2.401,4.735
0.387,11.937,2.278,2.435,4.187,-12.540,2.489,4.635
0.391,12.209,2.330,2.462,4.237,-12.780,2.571,4.536
0.395,12.459,2.338,2.505,4.247,-12.999,2.646,4.441
0.399,12.674,2.285,2.561,4.198,-13.183,2.712,4.354
0.403,12.844,2.217,2.623,4.133,-13.325,2.768,4.277
0.408,12.971,2.180,2.681,4.097,-13.425,2.812,4.212
0.412,13.062,2.174,2.734,4.091,-13.489,2.847,4.158
0.416,13.124,2.182,2.779,4.098,-13.524,2.872,4.114
0.420,13.165,2.194,2.815,4.110,-13.538,2.888,4.079
0.424,13.192,2.210,2.842,4.126,-13.536,2.896,4.052
0.429,13.214,2.228,2.859,4.144,-13.524,2.897,4.034
0.433,13.232,2.246,2.867,4.162,-13.511,2.891,4.024
0.437,13.248,2.258,2.865,4.175,-13.501,2.878,4.020
0.441,13.266,2.264,2.853,4.181,-13.502,2.861,4.022
0.445,13.293,2.263,2.834,4.179,-13.518,2.839,4.029
0.450,13.333,2.254,2.809,4.170,-13.547,2.814,4.038
0.454,13.384,2.242,2.782,4.158,-13.588,2.786,4.046
0.458,13.444,2.230,2.757,4.147,-13.641,2.756,4.051
0.462,13.513,2.220,2.736,4.137,-13.703,2.727,4.050
0.466,13.589,2.210,2.722,4.129,-13.772,2.698,4.039
0.471,13.673,2.207,2.720,4.126,-13.849,2.670,4.017
0.475,13.766,2.221,2.738,4.140,-13.931,2.646,3.980
0.479,13.870,2.257,2.779,4.175,-14.017,2.625,3.926
0.483,13.986,2.291,2.815,4.210,-14.105,2.609,3.852
0.487,14.117,2.297,2.814,4.216,-14.195,2.595,3.759
0.492,14.260,2.270,2.782,4.190,-14.287,2.582,3.649
0.496,14.416,2.225,2.750,4.145,-14.379,2.565,3.525
0.500,14.583,2.179,2.740,4.097,-14.472,2.542,3.388
0.504,14.759,2.147,2.751,4.062,-14.564,2.510,3.242
0.508,14.943,2.142,2.777,4.056,-14.656,2.467,3.088
0.513,15.136,2.153,2.826,4.067,-14.747,2.408,2.928
0.517,15.336,2.159,2.906,4.074,-14.836,2.332,2.766
0.521,15.545,2.148,3.012,4.063,-14.923,2.234,2.603
0.525,15.763,2.118,3.123,4.033,-15.007,2.116,2.441
0.529,15.989,2.072,3.221,3.987,-15.090,1.979,2.282
0.534,16.220,2.027,3.321,3.942,-15.171,1.828,2.126
0.538,16.456,2.004,3.446,3.917,-15.252,1.667,1.975
0.542,16.691,2.008,3.576,3.918,-15.333,1.500,1.829
0.546,16.924,2.033,3.661,3.940,-15.413,1.331,1.690
0.550,17.152,2.069,3.679,3.976,-15.495,1.164,1.559
0.555,17.370,2.107,3.674,4.014,-15.578,1.003,1.438
0.559,17.576,2.137,3.692,4.044,-15.663,0.852,1.326
0.563,17.767,2.163,3.713,4.069,-15.751,0.715,1.225
0.567,17.943,2.191,3.688,4.099,-15.840,0.592,1.136
0.571,18.104,2.224,3.607,4.135,-15.929,0.484,1.057
0.576,18.251,2.257,3.512,4.171,-16.017,0.388,0.989
0.580,18.383,2.285,3.441,4.200,-16.102,0.305,0.932
