T,Distance,Radius,FreeRadius,BRadius,X,Y,Z,,,Weighted Radius,Weighted FreeRadius,Weighted Bradius
0,0,1.497,2.37,3.423,-7.56,7.648,5.44,,,0.285927,0.45267,0.653793
0.004,0.191,1.584,2.488,3.51,-7.692,7.521,5.497,,,0.30096,0.47272,0.6669
0.008,0.381,1.673,2.604,3.599,-7.822,7.396,5.553,,,0.309505,0.48174,0.665815
0.011,0.566,1.766,2.716,3.693,-7.948,7.272,5.61,,,0.314348,0.483448,0.657354
0.015,0.744,1.864,2.819,3.79,-8.067,7.151,5.665,,,0.318744,0.482049,0.64809
0.019,0.915,1.961,2.902,3.887,-8.177,7.033,5.721,,,0.31376,0.46432,0.62192
0.023,1.075,2.055,2.957,3.98,-8.275,6.919,5.776,,,0.306195,0.440593,0.59302
0.027,1.224,2.142,2.986,4.066,-8.361,6.81,5.83,,,0.291312,0.406096,0.552976
0.03,1.36,2.22,3,4.143,-8.431,6.707,5.883,,,0.26862,0.363,0.501303
0.034,1.481,2.286,3.008,4.209,-8.483,6.611,5.936,,,0.249174,0.327872,0.458781
0.038,1.59,2.34,3.008,4.264,-8.516,6.521,5.987,,,0.22698,0.291776,0.413608
0.042,1.687,2.383,2.997,4.305,-8.532,6.439,6.037,,,0.212087,0.266733,0.383145
0.046,1.776,2.415,2.976,4.336,-8.535,6.363,6.084,,,0.19803,0.244032,0.355552
0.049,1.858,2.442,2.949,4.359,-8.528,6.293,6.127,,,0.185592,0.224124,0.331284
0.053,1.934,2.464,2.92,4.378,-8.516,6.23,6.165,,,0.167552,0.19856,0.297704
0.057,2.002,2.486,2.891,4.397,-8.503,6.171,6.197,,,0.14916,0.17346,0.26382
0.061,2.062,2.507,2.867,4.416,-8.491,6.118,6.223,,,0.130364,0.149084,0.229632
0.065,2.114,2.53,2.849,4.439,-8.485,6.069,6.24,,,0.11638,0.131054,0.204194
0.068,2.16,2.561,2.842,4.471,-8.489,6.025,6.249,,,0.110123,0.122206,0.192253
0.072,2.203,2.607,2.848,4.516,-8.504,5.984,6.249,,,0.119922,0.131008,0.207736
0.076,2.249,2.662,2.865,4.569,-8.53,5.947,6.241,,,0.127776,0.13752,0.219312
0.08,2.297,2.708,2.887,4.613,-8.562,5.913,6.226,,,0.132692,0.141463,0.226037
0.084,2.346,2.725,2.906,4.629,-8.595,5.884,6.208,,,0.122625,0.13077,0.208305
0.087,2.391,2.721,2.92,4.625,-8.625,5.858,6.188,,,0.103398,0.11096,0.17575
0.091,2.429,2.717,2.927,4.621,-8.649,5.835,6.167,,,0.078793,0.084883,0.134009
0.095,2.458,2.726,2.927,4.631,-8.662,5.817,6.149,,,0.057246,0.061467,0.097251
0.099,2.479,2.74,2.919,4.644,-8.66,5.801,6.136,,,0.0685,0.072975,0.1161
0.103,2.504,2.744,2.902,4.647,-8.638,5.79,6.128,,,0.12348,0.13059,0.209115
0.106,2.549,2.732,2.873,4.635,-8.594,5.782,6.129,,,0.161188,0.169507,0.273465
0.11,2.608,2.707,2.829,4.61,-8.536,5.777,6.134,,,0.167834,0.175398,0.28582
0.114,2.67,2.675,2.769,4.58,-8.474,5.774,6.139,,,0.1391,0.143988,0.23816
0.118,2.722,2.642,2.713,4.549,-8.422,5.773,6.139,,,0.084544,0.086816,0.145568
0.122,2.754,2.616,2.69,4.525,-8.392,5.772,6.13,,,0.062784,0.06456,0.1086
0.125,2.778,2.603,2.716,4.512,-8.395,5.771,6.106,,,0.171798,0.179256,0.297792
0.129,2.844,2.602,2.764,4.51,-8.444,5.769,6.062,,,0.330454,0.351028,0.57277
0.133,2.971,2.61,2.798,4.517,-8.551,5.765,5.994,,,0.52983,0.567994,0.916951
0.137,3.174,2.605,2.79,4.512,-8.729,5.758,5.896,,,0.752845,0.80631,1.303968
0.141,3.463,2.543,2.715,4.452,-8.986,5.748,5.765,,,0.933281,0.996405,1.633884
0.144,3.83,2.391,2.558,4.301,-9.316,5.735,5.604,,,1.018566,1.089708,1.832226
0.148,4.256,2.185,2.357,4.097,-9.7,5.719,5.421,,,1.01384,1.093648,1.901008
0.152,4.72,1.994,2.173,3.907,-10.12,5.703,5.224,,,0.961108,1.047386,1.883174
0.156,5.202,1.871,2.054,3.781,-10.556,5.686,5.021,,,0.89808,0.98592,1.81488
0.16,5.682,1.827,2.002,3.733,-10.992,5.669,4.819,,,0.838593,0.918918,1.713447
0.163,6.141,1.862,2.015,3.768,-11.408,5.654,4.626,,,0.774592,0.83824,1.567488
0.167,6.557,1.947,2.079,3.854,-11.786,5.641,4.451,,,0.691185,0.738045,1.36817
0.171,6.912,2.018,2.169,3.927,-12.107,5.631,4.301,,,0.55495,0.596475,1.079925
0.175,7.187,2.022,2.261,3.932,-12.355,5.625,4.183,,,0.392268,0.438634,0.762808
0.179,7.381,1.973,2.341,3.882,-12.53,5.622,4.098,,,0.246625,0.292625,0.48525
0.183,7.506,1.911,2.401,3.82,-12.641,5.621,4.041,,,0.128037,0.160867,0.25594
0.186,7.573,1.869,2.434,3.778,-12.699,5.618,4.008,,,0.041118,0.053548,0.083116
0.19,7.595,1.853,2.445,3.762,-12.715,5.614,3.994,,,0.031501,0.041565,0.063954
0.194,7.612,1.865,2.438,3.774,-12.7,5.605,3.994,,,0.076465,0.099958,0.154734
0.198,7.653,1.901,2.417,3.81,-12.664,5.59,4.004,,,0.100753,0.128101,0.20193
0.202,7.706,1.948,2.386,3.857,-12.618,5.568,4.02,,,0.112984,0.138388,0.223706
0.205,7.764,1.994,2.349,3.903,-12.573,5.536,4.037,,,0.113658,0.133893,0.222471
0.209,7.821,2.036,2.311,3.945,-12.538,5.493,4.05,,,0.116052,0.131727,0.224865
0.213,7.878,2.069,2.276,3.979,-12.519,5.439,4.056,,,0.130347,0.143388,0.250677
0.217,7.941,2.093,2.246,4.003,-12.515,5.377,4.053,,,0.148603,0.159466,0.284213
