T,Distance,Radius,FreeRadius,BRadius,X,Y,Z,,,Weighted Radius,Weighted FreeRadius,Weighted Bradius
0,0,1.136,1.346,3.059,83.95,39.765,64.009,,,0.064752,0.076722,0.174363
0.004,0.057,1.14,1.308,3.062,83.946,39.719,63.975,,,0.06042,0.069324,0.162286
0.008,0.11,1.144,1.272,3.066,83.943,39.677,63.944,,,0.049192,0.054696,0.131838
0.013,0.153,1.147,1.243,3.069,83.94,39.642,63.919,,,0.033263,0.036047,0.089001
0.017,0.182,1.151,1.223,3.073,83.938,39.619,63.902,,,0.010359,0.011007,0.027657
0.021,0.191,1.152,1.216,3.074,83.938,39.611,63.896,,,0.01728,0.01824,0.04611
0.025,0.206,1.15,1.226,3.072,83.939,39.623,63.904,,,0.0483,0.051492,0.129024
0.029,0.248,1.146,1.256,3.068,83.942,39.657,63.929,,,0.087096,0.095456,0.233168
0.033,0.324,1.139,1.307,3.062,83.947,39.718,63.974,,,0.129846,0.148998,0.349068
0.038,0.438,1.133,1.377,3.056,83.955,39.81,64.041,,,0.172216,0.209304,0.464512
0.042,0.59,1.132,1.459,3.056,83.965,39.932,64.13,,,0.206024,0.265538,0.556192
0.046,0.772,1.141,1.55,3.065,83.975,40.078,64.239,,,0.235046,0.3193,0.63139
0.05,0.978,1.164,1.649,3.088,83.985,40.242,64.363,,,0.259572,0.367727,0.688624
0.054,1.201,1.204,1.757,3.129,83.991,40.418,64.5,,,0.279328,0.407624,0.725928
0.058,1.433,1.262,1.88,3.188,83.994,40.599,64.646,,,0.297832,0.44368,0.752368
0.063,1.669,1.336,2.024,3.263,83.99,40.78,64.797,,,0.311288,0.471592,0.760279
0.067,1.902,1.423,2.185,3.35,83.978,40.954,64.95,,,0.317329,0.487255,0.74705
0.071,2.125,1.517,2.346,3.444,83.958,41.116,65.103,,,0.315536,0.487968,0.716352
0.075,2.333,1.613,2.494,3.539,83.927,41.26,65.25,,,0.312922,0.483836,0.686566
0.079,2.527,1.708,2.622,3.634,83.886,41.384,65.393,,,0.30744,0.47196,0.65412
0.083,2.707,1.799,2.73,3.726,83.836,41.491,65.529,,,0.302232,0.45864,0.625968
0.088,2.875,1.886,2.812,3.813,83.779,41.582,65.659,,,0.297988,0.444296,0.602454
0.092,3.033,1.968,2.862,3.894,83.717,41.658,65.782,,,0.289296,0.420714,0.572418
0.096,3.18,2.045,2.878,3.969,83.649,41.719,65.898,,,0.28221,0.397164,0.547722
0.1,3.318,2.116,2.875,4.038,83.578,41.767,66.006,,,0.272964,0.370875,0.520902
0.104,3.447,2.181,2.868,4.103,83.505,41.804,66.105,,,0.26172,0.34416,0.49236
0.108,3.567,2.24,2.858,4.162,83.431,41.83,66.196,,,0.24864,0.317238,0.461982
0.113,3.678,2.293,2.844,4.215,83.357,41.847,66.278,,,0.236179,0.292932,0.434145
0.117,3.781,2.339,2.824,4.26,83.286,41.855,66.351,,,0.219866,0.265456,0.40044
0.121,3.875,2.379,2.8,4.298,83.218,41.857,66.416,,,0.202215,0.238,0.36533
0.125,3.96,2.413,2.775,4.328,83.154,41.852,66.472,,,0.178562,0.20535,0.320272
0.129,4.034,2.44,2.748,4.351,83.097,41.844,66.519,,,0.1586,0.17862,0.282815
0.133,4.099,2.461,2.722,4.37,83.047,41.831,66.558,,,0.130433,0.144266,0.23161
0.138,4.152,2.474,2.698,4.384,83.007,41.817,66.589,,,0.101434,0.110618,0.179744
0.142,4.193,2.481,2.677,4.391,82.976,41.801,66.612,,,0.071949,0.077633,0.127339
0.146,4.222,2.481,2.66,4.39,82.958,41.786,66.628,,,0.044658,0.04788,0.07902
0.15,4.24,2.475,2.648,4.385,82.949,41.771,66.636,,,0.032175,0.034424,0.057005
0.154,4.253,2.466,2.639,4.375,82.948,41.759,66.639,,,0.02466,0.02639,0.04375
0.158,4.263,2.456,2.634,4.365,82.951,41.749,66.638,,,0.022104,0.023706,0.039285
0.163,4.272,2.448,2.631,4.358,82.956,41.744,66.635,,,0.014688,0.015786,0.026148
0.167,4.278,2.445,2.631,4.354,82.96,41.742,66.631,,,0.012225,0.013155,0.02177
0.171,4.283,2.447,2.633,4.357,82.96,41.746,66.627,,,0.031811,0.034229,0.056641
0.175,4.296,2.457,2.635,4.367,82.954,41.756,66.625,,,0.058968,0.06324,0.104808
0.179,4.32,2.479,2.639,4.39,82.937,41.774,66.626,,,0.094202,0.100282,0.16682
0.183,4.358,2.523,2.642,4.432,82.909,41.798,66.631,,,0.128673,0.134742,0.226032
