"LayerId","Radius","FreeRadius","BRadius","LocalMinimum","StartDistance","EndDistance","Charge","Ionizable","Hydropathy","Hydrophobicity","Polarity","Mutability","LogP","LogD","LogS"
1,1.14,1.35,3.06,0,0.00,0.14,0,0,1.93,0.28,1.25,66,0.79,0.79,-0.06
2,1.15,1.22,3.07,0,0.14,0.32,0,0,0.57,-0.28,2.75,44,-0.29,-0.29,0.59
3,1.14,1.31,3.06,1,0.32,1.27,0,0,1.93,0.28,1.25,66,0.79,0.79,-0.06
4,1.22,1.80,3.15,0,1.27,3.31,0,0,2.70,0.64,0.54,66,1.33,1.33,-0.35
5,2.12,2.85,4.04,0,3.31,3.90,0,0,2.73,0.82,0.49,62,1.62,1.62,-0.71
6,2.39,2.79,4.31,0,3.90,4.09,0,0,2.10,0.50,1.07,62,1.13,1.13,-0.41
7,2.44,2.63,4.35,0,4.09,4.42,0,0,1.90,0.54,1.11,61,1.21,1.21,-0.41
8,2.60,2.65,4.50,0,4.42,4.90,0,0,1.75,0.48,1.02,67,1.30,1.30,-0.56
9,2.66,2.67,4.55,0,4.90,5.54,0,0,0.95,-0.06,1.78,75,0.46,0.46,0.10
10,2.67,2.68,4.56,0,5.54,5.77,0,0,1.32,0.22,1.49,67,0.87,0.87,-0.28
11,2.42,2.41,4.32,0,5.77,6.88,0,0,0.95,-0.06,1.78,75,0.46,0.46,0.10
12,2.33,2.59,4.23,0,6.88,8.11,0,0,2.10,0.43,0.97,83,1.13,1.13,-0.43
13,1.93,2.16,3.82,1,8.11,9.46,0,0,1.55,0.22,1.81,74,0.64,0.64,-0.37
14,1.94,2.16,3.81,0,9.46,10.43,0,0,2.20,0.56,1.29,74,1.14,1.14,-0.77
15,2.19,2.42,4.07,0,10.43,10.74,0,0,1.43,0.85,1.49,58,1.51,1.51,-1.20
16,2.03,2.33,3.90,1,10.74,11.09,0,0,0.28,0.37,2.30,38,0.84,0.84,-0.67
17,2.24,2.42,4.13,0,11.09,11.66,0,0,1.06,0.52,1.87,58,1.03,1.03,-0.79
18,2.14,2.38,4.03,1,11.66,12.51,0,0,0.63,0.31,2.25,61,0.67,0.67,-0.54
19,2.17,2.39,4.05,0,12.51,13.32,0,0,-0.07,0.58,1.92,69,1.35,1.35,-1.22
20,2.40,2.56,4.30,0,13.32,13.80,0,0,0.58,0.63,1.81,62,1.23,1.23,-0.87
21,2.47,2.75,4.37,0,13.80,14.22,0,0,-0.23,0.24,1.86,78,0.98,0.98,-0.72
22,2.47,3.01,4.37,0,14.22,14.53,0,0,-0.32,0.04,1.82,84,0.75,0.75,-0.42
23,2.20,2.97,4.10,0,14.53,16.21,0,0,-1.45,-0.23,2.24,80,0.49,0.49,-0.20
24,1.87,3.24,3.76,1,16.21,18.77,0,0,-1.70,-0.05,2.43,72,0.70,0.70,-0.53
25,2.30,3.29,4.19,0,18.77,19.20,0,0,-0.15,0.41,1.86,79,1.09,1.09,-0.86
26,2.34,3.52,4.23,0,19.20,19.46,0,0,0.03,0.81,1.92,70,1.50,1.50,-1.40
27,2.39,3.39,4.29,0,19.46,19.78,0,0,0.98,0.89,1.47,66,1.65,1.65,-1.50
28,2.38,3.48,4.28,0,19.78,19.96,0,0,2.47,1.55,0.79,60,2.30,2.30,-2.04
29,2.34,2.99,4.23,0,19.96,20.56,0,0,1.68,0.97,1.01,72,1.69,1.69,-1.34
30,2.27,2.92,4.18,0,20.56,21.34,0,0,2.10,1.01,0.83,68,1.77,1.77,-1.43
31,1.91,3.13,3.81,1,21.34,23.81,0,0,2.23,1.33,0.79,44,2.25,2.25,-2.02
32,1.97,3.33,3.88,0,23.81,24.11,0,0,1.45,1.43,1.12,39,2.34,2.34,-2.14
33,1.76,2.23,3.67,0,24.11,25.42,0,0,1.20,1.48,1.17,38,2.44,2.44,-2.14
34,1.76,1.83,3.67,0,25.42,25.86,0,0,0.24,0.59,2.22,34,1.11,1.11,-1.03
35,1.57,1.60,3.47,0,25.86,27.10,0,0,-0.60,0.20,2.87,25,0.52,0.52,-0.51
36,1.28,1.28,3.20,0,27.10,27.82,0,0,-0.53,-0.17,3.06,25,0.00,0.00,-0.01
37,0.88,1.12,2.80,1,27.82,29.80,0,0,-1.60,-0.06,3.00,54,0.47,0.47,-0.51
38,1.18,1.38,3.10,0,29.80,30.04,0,0,-0.53,0.65,1.99,53,1.58,1.58,-1.39

